Total itineraries 11214
Disrupted itineraries 7141
Total #flights 1422
Total #airports 44
Preprocessing time 52.990191
MIP runtime 0.069092
MIP objective 143816689.150000
MIP number of zero variables 21575.000000 out of 28840
itin 0: OG pax count 1, sol cancelled  1
itin 1: OG pax count 20, sol cancelled  20
itin 2: OG pax count 14, sol cancelled  14
itin 3: OG pax count 3, sol cancelled  3
itin 5: OG pax count 14, sol cancelled  14
itin 6: OG pax count 3, sol cancelled  3
itin 7: OG pax count 7, sol cancelled  7
itin 8: OG pax count 3, sol cancelled  3
itin 16: OG pax count 8, sol cancelled  8
itin 17: OG pax count 1, sol cancelled  1
itin 21: OG pax count 7, sol put 7 pax on flight 7220 in cabin E
itin 25: OG pax count 7, sol cancelled  7
itin 26: OG pax count 16, sol cancelled  16
itin 27: OG pax count 5, sol cancelled  5
itin 28: OG pax count 12, sol cancelled  12
itin 29: OG pax count 6, sol cancelled  6
itin 37: OG pax count 3, sol cancelled  3
itin 38: OG pax count 1, sol cancelled  1
itin 39: OG pax count 5, sol cancelled  5
itin 40: OG pax count 3, sol cancelled  3
itin 41: OG pax count 4, sol cancelled  4
itin 42: OG pax count 7, sol cancelled  7
itin 43: OG pax count 16, sol cancelled  16
itin 44: OG pax count 6, sol cancelled  6
itin 45: OG pax count 4, sol cancelled  4
itin 46: OG pax count 7, sol cancelled  7
itin 48: OG pax count 5, sol cancelled  5
itin 49: OG pax count 2, sol cancelled  2
itin 62: OG pax count 1, sol cancelled  1
itin 63: OG pax count 5, sol cancelled  5
itin 64: OG pax count 10, sol cancelled  10
itin 65: OG pax count 11, sol cancelled  11
itin 66: OG pax count 3, sol cancelled  3
itin 67: OG pax count 15, sol cancelled  15
itin 69: OG pax count 10, sol cancelled  10
itin 70: OG pax count 2, sol cancelled  2
itin 71: OG pax count 9, sol cancelled  9
itin 72: OG pax count 2, sol cancelled  2
itin 73: OG pax count 8, sol cancelled  8
itin 74: OG pax count 5, sol put 5 pax on flight 7220 in cabin E
itin 75: OG pax count 9, sol cancelled  9
itin 76: OG pax count 4, sol cancelled  4
itin 77: OG pax count 3, sol cancelled  3
itin 78: OG pax count 1, sol cancelled  1
itin 83: OG pax count 10, sol cancelled  10
itin 84: OG pax count 2, sol put 2 pax on flight 7220 in cabin E
itin 85: OG pax count 3, sol cancelled  3
itin 86: OG pax count 6, sol cancelled  6
itin 88: OG pax count 19, sol cancelled  19
