Total itineraries 1659
Disrupted itineraries 977
Total #flights 608
Total #airports 35
Preprocessing time 7.342636
MIP runtime 0.039979
MIP objective 9642490.250000
MIP number of zero variables 13685.000000 out of 14779
itin 1: OG pax count 10, sol cancelled  10
itin 2: OG pax count 3, sol cancelled  3
itin 3: OG pax count 16, sol cancelled  16
itin 4: OG pax count 2, sol cancelled  2
itin 13: OG pax count 1, sol cancelled  1
itin 14: OG pax count 2, sol cancelled  2
itin 16: OG pax count 1, sol cancelled  1
itin 17: OG pax count 2, sol cancelled  2
itin 18: OG pax count 8, sol cancelled  8
itin 19: OG pax count 6, sol cancelled  6
itin 20: OG pax count 13, sol cancelled  13
itin 21: OG pax count 3, sol cancelled  3
itin 22: OG pax count 19, sol cancelled  19
itin 23: OG pax count 2, sol cancelled  2
itin 24: OG pax count 13, sol cancelled  13
itin 25: OG pax count 5, sol cancelled  5
itin 34: OG pax count 14, sol cancelled  14
itin 35: OG pax count 3, sol cancelled  3
itin 36: OG pax count 6, sol cancelled  6
itin 37: OG pax count 2, sol cancelled  2
itin 40: OG pax count 73, sol cancelled  73
itin 41: OG pax count 12, sol cancelled  12
itin 42: OG pax count 14, sol cancelled  14
itin 43: OG pax count 5, sol cancelled  5
itin 51: OG pax count 25, sol cancelled  25
itin 52: OG pax count 20, sol cancelled  20
itin 53: OG pax count 43, sol cancelled  43
itin 54: OG pax count 6, sol cancelled  6
itin 71: OG pax count 50, sol cancelled  12
itin 71 partially cancelled
itin 71: OG pax count 50, sol put 38 pax on flight 1363 in cabin E
itin 72: OG pax count 23, sol put 23 pax on flight 1363 in cabin E
itin 73: OG pax count 52, sol cancelled  52
itin 74: OG pax count 12, sol cancelled  12
itin 75: OG pax count 59, sol cancelled  59
itin 76: OG pax count 6, sol cancelled  6
itin 77: OG pax count 40, sol cancelled  40
itin 78: OG pax count 26, sol cancelled  26
itin 79: OG pax count 6, sol cancelled  6
itin 80: OG pax count 2, sol cancelled  2
itin 81: OG pax count 10, sol cancelled  10
itin 82: OG pax count 4, sol cancelled  4
itin 83: OG pax count 3, sol cancelled  1
itin 83 partially cancelled
itin 83: OG pax count 3, sol put 2 pax on flight 4602 in cabin E
itin 84: OG pax count 1, sol cancelled  1
itin 85: OG pax count 5, sol cancelled  5
itin 86: OG pax count 2, sol cancelled  2
itin 105: OG pax count 5, sol cancelled  5
itin 106: OG pax count 2, sol cancelled  2
itin 107: OG pax count 10, sol cancelled  10
itin 108: OG pax count 4, sol cancelled  4
itin 109: OG pax count 2, sol put 2 pax on flight 4602 in cabin E
itin 110: OG pax count 1, sol cancelled  1
itin 111: OG pax count 4, sol cancelled  4
itin 112: OG pax count 2, sol cancelled  2
itin 113: OG pax count 5, sol put 5 pax on flight 4595 in cabin E
itin 114: OG pax count 9, sol cancelled  9
itin 115: OG pax count 3, sol put 3 pax on flight 4601 in cabin E
itin 116: OG pax count 5, sol cancelled  5
itin 117: OG pax count 5, sol cancelled  5
itin 118: OG pax count 3, sol cancelled  3
itin 119: OG pax count 13, sol cancelled  13
itin 120: OG pax count 5, sol cancelled  5
itin 121: OG pax count 3, sol put 3 pax on flight 4602 in cabin E
itin 122: OG pax count 1, sol cancelled  1
itin 123: OG pax count 13, sol cancelled  13
itin 124: OG pax count 3, sol cancelled  3
itin 129: OG pax count 59, sol cancelled  59
itin 130: OG pax count 6, sol cancelled  6
itin 131: OG pax count 31, sol cancelled  31
itin 132: OG pax count 6, sol cancelled  6
itin 136: OG pax count 44, sol cancelled  44
itin 137: OG pax count 23, sol cancelled  23
itin 144: OG pax count 47, sol cancelled  47
itin 145: OG pax count 24, sol cancelled  24
itin 147: OG pax count 5, sol cancelled  5
itin 149: OG pax count 3, sol cancelled  3
itin 156: OG pax count 7, sol cancelled  7
itin 157: OG pax count 2, sol cancelled  2
itin 158: OG pax count 5, sol cancelled  5
itin 159: OG pax count 2, sol put 2 pax on flight 4270 in cabin E
itin 161: OG pax count 1, sol cancelled  1
itin 163: OG pax count 1, sol cancelled  1
itin 164: OG pax count 7, sol cancelled  7
itin 165: OG pax count 3, sol cancelled  3
itin 166: OG pax count 4, sol cancelled  4
itin 167: OG pax count 1, sol cancelled  1
itin 169: OG pax count 6, sol cancelled  6
itin 171: OG pax count 4, sol cancelled  4
itin 176: OG pax count 29, sol cancelled  29
itin 177: OG pax count 7, sol cancelled  7
itin 178: OG pax count 10, sol cancelled  10
itin 179: OG pax count 4, sol put 4 pax on flight 4170 in cabin E
itin 179: OG pax count 4, sol put 4 pax on flight 107 in cabin F
itin 180: OG pax count 17, sol cancelled  17
itin 181: OG pax count 3, sol cancelled  3
itin 182: OG pax count 3, sol cancelled  3
itin 183: OG pax count 14, sol cancelled  14
itin 184: OG pax count 2, sol cancelled  2
itin 185: OG pax count 3, sol cancelled  3
itin 187: OG pax count 5, sol cancelled  5
itin 189: OG pax count 5, sol cancelled  5
itin 190: OG pax count 21, sol cancelled  21
itin 191: OG pax count 7, sol cancelled  7
itin 192: OG pax count 9, sol cancelled  9
itin 193: OG pax count 3, sol put 3 pax on flight 4270 in cabin E
itin 205: OG pax count 29, sol cancelled  29
itin 206: OG pax count 26, sol cancelled  26
itin 208: OG pax count 7, sol cancelled  7
itin 210: OG pax count 6, sol cancelled  6
itin 213: OG pax count 33, sol cancelled  33
itin 214: OG pax count 12, sol cancelled  12
itin 215: OG pax count 11, sol cancelled  11
itin 216: OG pax count 6, sol cancelled  6
itin 220: OG pax count 8, sol cancelled  8
itin 222: OG pax count 5, sol cancelled  5
itin 223: OG pax count 35, sol cancelled  35
itin 224: OG pax count 18, sol cancelled  18
itin 226: OG pax count 3, sol cancelled  3
itin 228: OG pax count 2, sol cancelled  2
itin 235: OG pax count 26, sol cancelled  26
itin 236: OG pax count 3, sol cancelled  3
itin 237: OG pax count 7, sol cancelled  7
itin 238: OG pax count 2, sol cancelled  2
itin 251: OG pax count 37, sol cancelled  37
itin 252: OG pax count 38, sol cancelled  38
itin 253: OG pax count 28, sol cancelled  28
itin 254: OG pax count 7, sol cancelled  7
itin 255: OG pax count 11, sol cancelled  11
itin 256: OG pax count 4, sol cancelled  4
itin 259: OG pax count 30, sol put 30 pax on flight 4320 in cabin E
itin 260: OG pax count 10, sol cancelled  10
itin 261: OG pax count 12, sol put 12 pax on flight 4320 in cabin E
itin 262: OG pax count 4, sol cancelled  4
itin 266: OG pax count 65, sol cancelled  51
itin 266 partially cancelled
itin 266: OG pax count 65, sol put 14 pax on flight 4315 in cabin E
itin 267: OG pax count 30, sol put 30 pax on flight 4315 in cabin E
itin 273: OG pax count 28, sol put 28 pax on flight 4317 in cabin E
itin 274: OG pax count 24, sol put 24 pax on flight 4317 in cabin E
itin 275: OG pax count 74, sol cancelled  31
itin 275 partially cancelled
itin 275: OG pax count 74, sol put 43 pax on flight 4322 in cabin E
itin 276: OG pax count 9, sol cancelled  9
itin 277: OG pax count 18, sol put 18 pax on flight 4322 in cabin E
itin 278: OG pax count 6, sol cancelled  6
itin 279: OG pax count 27, sol cancelled  27
itin 280: OG pax count 14, sol put 14 pax on flight 4319 in cabin E
itin 281: OG pax count 31, sol cancelled  29
itin 281 partially cancelled
itin 281: OG pax count 31, sol put 2 pax on flight 4324 in cabin E
itin 282: OG pax count 59, sol put 59 pax on flight 4324 in cabin E
itin 283: OG pax count 34, sol cancelled  6
itin 283 partially cancelled
itin 283: OG pax count 34, sol put 28 pax on flight 4319 in cabin E
