Total itineraries 3395
Disrupted itineraries 2062
Total #flights 608
Total #airports 35
Preprocessing time 9.319905
MIP runtime 0.039826
MIP objective 23998397.800000
MIP number of zero variables 22578.000000 out of 24682
itin 1: OG pax count 24, sol cancelled  24
itin 2: OG pax count 8, sol cancelled  8
itin 3: OG pax count 33, sol cancelled  33
itin 4: OG pax count 5, sol cancelled  5
itin 6: OG pax count 35, sol cancelled  35
itin 7: OG pax count 18, sol cancelled  18
itin 12: OG pax count 32, sol cancelled  32
itin 13: OG pax count 22, sol cancelled  22
itin 15: OG pax count 8, sol cancelled  8
itin 17: OG pax count 6, sol cancelled  6
itin 18: OG pax count 29, sol cancelled  29
itin 19: OG pax count 11, sol cancelled  11
itin 20: OG pax count 71, sol cancelled  71
itin 21: OG pax count 10, sol cancelled  10
itin 22: OG pax count 8, sol cancelled  8
itin 23: OG pax count 4, sol cancelled  4
itin 27: OG pax count 8, sol cancelled  8
itin 29: OG pax count 5, sol cancelled  5
itin 30: OG pax count 32, sol cancelled  32
itin 31: OG pax count 22, sol cancelled  22
itin 33: OG pax count 4, sol cancelled  4
itin 34: OG pax count 4, sol cancelled  4
itin 36: OG pax count 2, sol cancelled  2
itin 37: OG pax count 3, sol cancelled  3
itin 38: OG pax count 44, sol cancelled  44
itin 39: OG pax count 9, sol cancelled  9
itin 40: OG pax count 10, sol cancelled  10
itin 41: OG pax count 4, sol cancelled  4
itin 42: OG pax count 25, sol cancelled  25
itin 43: OG pax count 9, sol cancelled  9
itin 44: OG pax count 12, sol cancelled  12
itin 45: OG pax count 4, sol cancelled  4
itin 46: OG pax count 17, sol cancelled  17
itin 47: OG pax count 14, sol cancelled  14
itin 48: OG pax count 10, sol cancelled  10
itin 49: OG pax count 9, sol cancelled  9
itin 50: OG pax count 22, sol cancelled  22
itin 51: OG pax count 8, sol cancelled  8
itin 52: OG pax count 16, sol cancelled  16
itin 53: OG pax count 6, sol cancelled  6
itin 65: OG pax count 25, sol cancelled  25
itin 66: OG pax count 9, sol cancelled  9
itin 67: OG pax count 12, sol put 12 pax on flight 4578 in cabin E
itin 67: OG pax count 12, sol put 12 pax on flight 72 in cabin F
itin 68: OG pax count 4, sol cancelled  4
itin 76: OG pax count 8, sol cancelled  8
itin 78: OG pax count 4, sol cancelled  4
itin 83: OG pax count 21, sol cancelled  21
itin 84: OG pax count 7, sol cancelled  7
itin 85: OG pax count 14, sol put 14 pax on flight 4578 in cabin E
itin 85: OG pax count 14, sol put 14 pax on flight 72 in cabin F
itin 86: OG pax count 5, sol cancelled  5
itin 87: OG pax count 29, sol cancelled  29
itin 88: OG pax count 14, sol cancelled  14
itin 89: OG pax count 25, sol cancelled  25
itin 90: OG pax count 4, sol cancelled  4
itin 91: OG pax count 4, sol cancelled  4
itin 92: OG pax count 13, sol cancelled  13
itin 93: OG pax count 2, sol cancelled  2
itin 94: OG pax count 3, sol cancelled  3
itin 99: OG pax count 10, sol cancelled  10
itin 101: OG pax count 5, sol cancelled  5
itin 104: OG pax count 25, sol cancelled  25
itin 105: OG pax count 9, sol cancelled  9
itin 106: OG pax count 12, sol cancelled  12
itin 107: OG pax count 4, sol cancelled  4
itin 110: OG pax count 32, sol cancelled  32
itin 111: OG pax count 11, sol cancelled  11
itin 112: OG pax count 12, sol cancelled  3
itin 112 partially cancelled
itin 112: OG pax count 12, sol put 9 pax on flight 4578 in cabin E
itin 112: OG pax count 12, sol put 9 pax on flight 72 in cabin F
itin 113: OG pax count 7, sol cancelled  7
itin 118: OG pax count 24, sol cancelled  24
itin 119: OG pax count 8, sol cancelled  8
itin 120: OG pax count 11, sol put 11 pax on flight 4578 in cabin E
itin 120: OG pax count 11, sol put 11 pax on flight 72 in cabin F
itin 121: OG pax count 4, sol cancelled  4
itin 125: OG pax count 7, sol cancelled  7
itin 127: OG pax count 6, sol cancelled  6
itin 131: OG pax count 22, sol cancelled  22
itin 132: OG pax count 8, sol cancelled  8
itin 133: OG pax count 11, sol cancelled  11
itin 134: OG pax count 4, sol put 4 pax on flight 4273 in cabin E
itin 137: OG pax count 46, sol cancelled  46
itin 138: OG pax count 8, sol cancelled  8
itin 139: OG pax count 13, sol cancelled  13
itin 140: OG pax count 5, sol cancelled  5
itin 144: OG pax count 7, sol cancelled  7
itin 146: OG pax count 4, sol put 4 pax on flight 4275 in cabin E
itin 148: OG pax count 9, sol cancelled  9
itin 150: OG pax count 3, sol cancelled  3
itin 156: OG pax count 8, sol cancelled  8
itin 158: OG pax count 5, sol cancelled  5
itin 160: OG pax count 18, sol cancelled  18
itin 161: OG pax count 6, sol cancelled  6
itin 162: OG pax count 12, sol cancelled  12
itin 163: OG pax count 4, sol cancelled  4
itin 167: OG pax count 20, sol cancelled  20
itin 168: OG pax count 7, sol cancelled  7
itin 169: OG pax count 18, sol cancelled  18
itin 170: OG pax count 6, sol cancelled  6
itin 175: OG pax count 42, sol cancelled  42
itin 176: OG pax count 8, sol cancelled  8
itin 177: OG pax count 28, sol cancelled  28
itin 178: OG pax count 6, sol cancelled  6
itin 190: OG pax count 54, sol cancelled  54
itin 191: OG pax count 9, sol cancelled  9
itin 192: OG pax count 12, sol cancelled  12
itin 193: OG pax count 4, sol cancelled  4
itin 197: OG pax count 19, sol cancelled  19
itin 198: OG pax count 7, sol cancelled  7
itin 199: OG pax count 20, sol cancelled  20
itin 200: OG pax count 7, sol cancelled  7
itin 204: OG pax count 9, sol cancelled  9
itin 206: OG pax count 4, sol cancelled  4
itin 209: OG pax count 19, sol cancelled  19
itin 210: OG pax count 7, sol cancelled  7
itin 211: OG pax count 17, sol cancelled  17
itin 212: OG pax count 6, sol cancelled  6
itin 218: OG pax count 2, sol cancelled  2
itin 220: OG pax count 4, sol cancelled  4
itin 222: OG pax count 1, sol cancelled  1
itin 224: OG pax count 2, sol cancelled  2
itin 235: OG pax count 5, sol cancelled  5
itin 236: OG pax count 3, sol cancelled  3
itin 237: OG pax count 9, sol cancelled  9
itin 238: OG pax count 5, sol cancelled  5
itin 239: OG pax count 2, sol cancelled  2
itin 240: OG pax count 1, sol cancelled  1
itin 241: OG pax count 4, sol cancelled  4
itin 242: OG pax count 3, sol cancelled  3
itin 243: OG pax count 14, sol cancelled  14
itin 244: OG pax count 2, sol cancelled  2
itin 245: OG pax count 22, sol cancelled  22
itin 246: OG pax count 3, sol cancelled  3
itin 247: OG pax count 4, sol cancelled  4
itin 248: OG pax count 1, sol cancelled  1
itin 249: OG pax count 7, sol cancelled  7
itin 250: OG pax count 2, sol cancelled  2
itin 251: OG pax count 5, sol cancelled  5
itin 252: OG pax count 10, sol cancelled  10
itin 253: OG pax count 3, sol cancelled  3
itin 254: OG pax count 5, sol cancelled  5
itin 255: OG pax count 6, sol cancelled  6
itin 256: OG pax count 2, sol cancelled  2
itin 257: OG pax count 10, sol cancelled  10
itin 258: OG pax count 3, sol cancelled  3
itin 259: OG pax count 3, sol cancelled  3
itin 260: OG pax count 1, sol cancelled  1
itin 261: OG pax count 6, sol cancelled  6
itin 262: OG pax count 2, sol cancelled  2
itin 267: OG pax count 26, sol cancelled  26
itin 268: OG pax count 9, sol cancelled  9
itin 269: OG pax count 17, sol cancelled  17
itin 270: OG pax count 6, sol cancelled  6
itin 274: OG pax count 27, sol cancelled  27
itin 275: OG pax count 9, sol cancelled  9
itin 276: OG pax count 15, sol cancelled  15
itin 277: OG pax count 6, sol cancelled  6
itin 286: OG pax count 25, sol cancelled  25
itin 287: OG pax count 9, sol cancelled  9
itin 288: OG pax count 14, sol cancelled  14
itin 289: OG pax count 5, sol cancelled  5
itin 296: OG pax count 28, sol cancelled  28
itin 297: OG pax count 5, sol cancelled  5
itin 298: OG pax count 5, sol cancelled  5
itin 299: OG pax count 28, sol cancelled  28
itin 300: OG pax count 2, sol cancelled  2
itin 301: OG pax count 3, sol cancelled  3
itin 305: OG pax count 27, sol cancelled  27
itin 306: OG pax count 9, sol cancelled  9
itin 307: OG pax count 39, sol cancelled  39
itin 308: OG pax count 6, sol cancelled  6
itin 312: OG pax count 28, sol cancelled  28
itin 313: OG pax count 10, sol cancelled  10
itin 314: OG pax count 15, sol cancelled  15
itin 315: OG pax count 6, sol cancelled  6
itin 323: OG pax count 10, sol cancelled  10
itin 325: OG pax count 4, sol put 4 pax on flight 4275 in cabin E
itin 326: OG pax count 20, sol cancelled  20
itin 327: OG pax count 7, sol cancelled  7
itin 328: OG pax count 18, sol cancelled  18
itin 329: OG pax count 6, sol cancelled  6
itin 332: OG pax count 24, sol cancelled  24
itin 333: OG pax count 8, sol cancelled  8
itin 334: OG pax count 21, sol cancelled  21
itin 335: OG pax count 7, sol cancelled  7
itin 338: OG pax count 26, sol put 26 pax on flight 4189 in cabin E
itin 339: OG pax count 19, sol put 19 pax on flight 4189 in cabin E
itin 341: OG pax count 9, sol cancelled  9
itin 343: OG pax count 5, sol cancelled  5
itin 364: OG pax count 1, sol cancelled  1
itin 365: OG pax count 1, sol cancelled  1
itin 367: OG pax count 1, sol cancelled  1
itin 368: OG pax count 2, sol cancelled  2
itin 370: OG pax count 1, sol cancelled  1
itin 372: OG pax count 1, sol cancelled  1
itin 373: OG pax count 1, sol cancelled  1
itin 374: OG pax count 8, sol cancelled  8
itin 375: OG pax count 15, sol cancelled  15
itin 376: OG pax count 4, sol cancelled  4
itin 377: OG pax count 7, sol cancelled  7
itin 378: OG pax count 28, sol cancelled  28
itin 379: OG pax count 10, sol cancelled  10
itin 380: OG pax count 15, sol cancelled  15
itin 381: OG pax count 6, sol cancelled  6
itin 384: OG pax count 47, sol cancelled  47
itin 385: OG pax count 9, sol cancelled  9
itin 386: OG pax count 20, sol cancelled  20
itin 387: OG pax count 7, sol cancelled  7
itin 390: OG pax count 27, sol cancelled  27
itin 391: OG pax count 9, sol cancelled  9
itin 392: OG pax count 17, sol put 17 pax on flight 2883 in cabin E
itin 393: OG pax count 6, sol cancelled  6
itin 394: OG pax count 16, sol cancelled  16
itin 395: OG pax count 6, sol cancelled  6
itin 396: OG pax count 26, sol cancelled  26
itin 397: OG pax count 8, sol cancelled  8
itin 398: OG pax count 28, sol cancelled  28
