7702 CDG NCE 19:21 20:56 0.0
5565 VCE LYS 15:22 16:47 0.0
9991 BDS FCO 14:00 15:15 0.0
5014 CDG DUB 20:04 22:04 0.0
6213 NCE ORY 19:53 21:18 0.0
2569 MAN CDG 17:25 18:50 0.0
8997 ATL CDG 19:20 03:45 0.0
1251 CPH CDG 10:36 12:36 0.0
9141 STL ATL 15:00 16:30 0.0
6203 NCE ORY 13:15 14:40 0.0
7733 BES CDG 02:23+1 03:43+1 0.0
9003 BWI ATL 21:00 22:55 0.0
277 NRT CDG 12:55 03:35 0.0
3363 RAK MRS 00:31+1 03:11+1 0.0
2522 CDG MUC 17:20 18:55 0.0
8754 CVG SLC 21:10 00:55 0.0
6011 MRS ORY 14:00 15:20 0.0
8865 BHM CVG 22:22 23:52 0.0
7759 ETZ ORY 08:40+1 09:50+1 0.0
7559 MPL ORY 06:27 07:52 0.0
3222 CFE BOD 22:17 23:07 0.0
2046 CDG WAW 08:35 10:50 0.0
1404 CDG FCO 13:34 15:39 0.0
5060 TLS NCE 05:40 07:00 0.0
7629 BOD CDG 02:49+1 04:14+1 0.0
6255 BOD ORY 16:21 17:31 0.0
8926 CVG RDU 23:55 01:25 0.0
7773 PUF CDG 06:10 07:40 0.0
8575 MEM ATL 00:52+1 02:12+1 0.0
5447 LRT LYS 05:12+1 06:37+1 0.0
6218 ORY NCE 14:00 15:20 0.0
6225 NCE ORY 01:49+1 03:14+1 0.0
3213 BRU BOD 10:06 11:36 0.0
7455 PUF ORY 08:15 09:35 0.0
5466 SXB MRS 00:23+1 01:38+1 0.0
8909 OMA CVG 11:49+1 13:39+1 0.0
8514 ATL BTR 22:25 23:55 0.0
7495 BIQ ORY 22:11 23:31 0.0
7847 TLS LYS 08:06 09:16 0.0
5044 CDG FLR 14:45 16:40 0.0
7300 ORY SXB 15:13 16:13 0.0
2244 CDG SVO 00:19+1 03:59+1 0.0
10077 ORY CDG 13:46 14:16 0.0
2015 MXP CDG 17:30 19:00 0.0
5894 LYS BCN 06:26+1 07:41+1 0.0
8850 CVG LAS 08:48+1 12:53 0.0
9983 AOI MXP 11:25 12:55 0.0
7504 ORY TLN 20:15 21:35 0.0
9042 ATL DEN 13:45+1 17:00 0.0
7781 TLS CDG 07:59 09:29 0.0
8838 CVG SDF 09:24+1 10:04+1 0.0
5402 LYS CFE 07:15 07:55 0.0
9495 PIT EWR 22:00 23:30 0.0
10139 ORY CDG 02:43+1 03:13+1 0.0
3248 TLS FCO 12:28 14:13 0.0
3130 BOD LIL 17:47 19:12 0.0
7805 BOD LYS 13:48 14:58 0.0
3542 MRS ALG 09:35 11:05 0.0
10122 ORY CDG 16:20 16:50 0.0
2624 ORY MAD 14:30 16:25 0.0
5906 LYS BCN 17:52 19:12 0.0
7430 ORY CFE 09:03 09:58 0.0
5005 DUB CDG 16:37 18:27 0.0
4517 BIA ORY 19:51 21:26 0.0
3349 TUN MRS 21:49 23:29 0.0
