Total itineraries 11214
Disrupted itineraries 7329
Total #flights 1422
Total #airports 44
Preprocessing time 66.228350
MIP runtime 0.132833
MIP objective 149758522.950000
MIP number of zero variables 53146.000000 out of 60625
itin 0: OG pax count 1, sol cancelled  1
itin 1: OG pax count 20, sol cancelled  20
itin 2: OG pax count 14, sol cancelled  14
itin 3: OG pax count 3, sol cancelled  3
itin 4: OG pax count 19, sol cancelled  19
itin 5: OG pax count 14, sol cancelled  14
itin 6: OG pax count 3, sol cancelled  3
itin 7: OG pax count 7, sol cancelled  7
itin 8: OG pax count 3, sol cancelled  3
itin 9: OG pax count 9, sol cancelled  9
itin 10: OG pax count 2, sol cancelled  2
itin 11: OG pax count 9, sol cancelled  9
itin 12: OG pax count 5, sol cancelled  5
itin 13: OG pax count 3, sol cancelled  3
itin 14: OG pax count 4, sol cancelled  4
itin 15: OG pax count 10, sol cancelled  10
itin 16: OG pax count 8, sol cancelled  8
itin 17: OG pax count 1, sol cancelled  1
itin 18: OG pax count 24, sol cancelled  24
itin 19: OG pax count 2, sol cancelled  2
itin 20: OG pax count 2, sol cancelled  2
itin 21: OG pax count 7, sol put 7 pax on flight 7220 in cabin E
itin 22: OG pax count 9, sol cancelled  9
itin 23: OG pax count 1, sol cancelled  1
itin 24: OG pax count 8, sol cancelled  8
itin 26: OG pax count 16, sol cancelled  16
itin 27: OG pax count 5, sol cancelled  5
itin 29: OG pax count 6, sol cancelled  6
itin 30: OG pax count 3, sol cancelled  3
itin 31: OG pax count 10, sol cancelled  10
itin 32: OG pax count 8, sol cancelled  8
itin 33: OG pax count 6, sol cancelled  6
itin 34: OG pax count 19, sol cancelled  19
itin 35: OG pax count 2, sol cancelled  2
itin 36: OG pax count 20, sol cancelled  20
itin 37: OG pax count 3, sol cancelled  3
itin 40: OG pax count 3, sol cancelled  3
itin 41: OG pax count 4, sol cancelled  4
itin 48: OG pax count 5, sol cancelled  5
itin 49: OG pax count 2, sol cancelled  2
itin 50: OG pax count 30, sol cancelled  30
itin 51: OG pax count 2, sol cancelled  2
itin 52: OG pax count 10, sol cancelled  10
itin 53: OG pax count 10, sol cancelled  10
itin 54: OG pax count 5, sol cancelled  5
itin 55: OG pax count 1, sol cancelled  1
itin 56: OG pax count 2, sol cancelled  2
itin 57: OG pax count 8, sol cancelled  8
itin 58: OG pax count 2, sol cancelled  2
itin 59: OG pax count 2, sol cancelled  2
